model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
ARIMA,232,1,night,1,20,100,100,2.24951754729241
ARIMA,232,1,night,1,20,100,161,6.14274975665824
ARIMA,232,1,night,1,20,100,162,3.61182256015224
ARIMA,232,1,night,1,20,100,163,5.31355756550152
ARIMA,232,1,night,1,20,100,186,2.34861713020476
ARIMA,232,1,night,1,20,100,230,6.9896799608625
ARIMA,232,1,night,1,20,161,100,7.30805707783014
ARIMA,232,1,night,1,20,161,161,20.0510255109469
ARIMA,232,1,night,1,20,161,162,11.0585809720809
ARIMA,232,1,night,1,20,161,163,10.6260722042222
ARIMA,232,1,night,1,20,161,186,13.0388049767267
ARIMA,232,1,night,1,20,161,230,9.62366552035782
ARIMA,232,1,night,1,20,162,100,3.89463177037794
ARIMA,232,1,night,1,20,162,161,12.0554942573294
ARIMA,232,1,night,1,20,162,162,11.9150606528941
ARIMA,232,1,night,1,20,162,163,5.55724173755278
ARIMA,232,1,night,1,20,162,186,8.55587285409016
ARIMA,232,1,night,1,20,162,230,6.86131975204501
ARIMA,232,1,night,1,20,163,100,3.9973680037178
ARIMA,232,1,night,1,20,163,161,13.1349394507488
ARIMA,232,1,night,1,20,163,162,7.46494795785123
ARIMA,232,1,night,1,20,163,163,6.38613353072378
ARIMA,232,1,night,1,20,163,186,5.38848320440618
ARIMA,232,1,night,1,20,163,230,8.8563677263177
ARIMA,232,1,night,1,20,186,100,3.83569525369325
ARIMA,232,1,night,1,20,186,161,12.3872893073086
ARIMA,232,1,night,1,20,186,162,7.19899348303608
ARIMA,232,1,night,1,20,186,163,9.74571348335707
ARIMA,232,1,night,1,20,186,186,3.59137531811316
ARIMA,232,1,night,1,20,186,230,17.7712384319886
ARIMA,232,1,night,1,20,230,100,5.13911715331511
ARIMA,232,1,night,1,20,230,161,8.09871592146078
ARIMA,232,1,night,1,20,230,162,4.87094111027485
ARIMA,232,1,night,1,20,230,163,7.11368348448123
ARIMA,232,1,night,1,20,230,186,9.22865145106639
ARIMA,232,1,night,1,20,230,230,6.80796529090789
ARIMA,232,1,night,2,21,100,100,2.35840991519835
ARIMA,232,1,night,2,21,100,161,6.30825028851123
ARIMA,232,1,night,2,21,100,162,3.49186896787293
ARIMA,232,1,night,2,21,100,163,5.2018011900347
ARIMA,232,1,night,2,21,100,186,2.34861713020476
ARIMA,232,1,night,2,21,100,230,7.19693113780329
ARIMA,232,1,night,2,21,161,100,7.23823032726704
ARIMA,232,1,night,2,21,161,161,19.9835790917903
ARIMA,232,1,night,2,21,161,162,11.2794235375385
ARIMA,232,1,night,2,21,161,163,10.5687447173388
ARIMA,232,1,night,2,21,161,186,13.0388049767267
ARIMA,232,1,night,2,21,161,230,10.406175805202
ARIMA,232,1,night,2,21,162,100,4.30848311758879
ARIMA,232,1,night,2,21,162,161,11.913618671645
ARIMA,232,1,night,2,21,162,162,11.8007413583664
ARIMA,232,1,night,2,21,162,163,6.52087448221369
ARIMA,232,1,night,2,21,162,186,8.82702235598804
ARIMA,232,1,night,2,21,162,230,7.46472255480783
ARIMA,232,1,night,2,21,163,100,4.28041963351098
ARIMA,232,1,night,2,21,163,161,13.4586325594963
ARIMA,232,1,night,2,21,163,162,7.68489102929544
ARIMA,232,1,night,2,21,163,163,6.38613353072378
ARIMA,232,1,night,2,21,163,186,5.67653326445522
ARIMA,232,1,night,2,21,163,230,10.9390924476325
ARIMA,232,1,night,2,21,186,100,4.35242537511951
ARIMA,232,1,night,2,21,186,161,15.0403476396109
ARIMA,232,1,night,2,21,186,162,7.54088046922036
ARIMA,232,1,night,2,21,186,163,10.0629631409019
ARIMA,232,1,night,2,21,186,186,3.69455789205064
ARIMA,232,1,night,2,21,186,230,19.5486286924367
ARIMA,232,1,night,2,21,230,100,5.5454150974908
ARIMA,232,1,night,2,21,230,161,8.83682417448163
ARIMA,232,1,night,2,21,230,162,5.05771261897558
ARIMA,232,1,night,2,21,230,163,7.22079212215581
ARIMA,232,1,night,2,21,230,186,10.1748092704057
ARIMA,232,1,night,2,21,230,230,8.02678284721433
ARIMA,232,1,night,3,22,100,100,2.28879439901415
ARIMA,232,1,night,3,22,100,161,6.33221916348498
ARIMA,232,1,night,3,22,100,162,3.48584392799917
ARIMA,232,1,night,3,22,100,163,5.19439537101473
ARIMA,232,1,night,3,22,100,186,2.34861713020476
ARIMA,232,1,night,3,22,100,230,7.21851905706078
ARIMA,232,1,night,3,22,161,100,7.13975101466837
ARIMA,232,1,night,3,22,161,161,20.0096187782958
ARIMA,232,1,night,3,22,161,162,11.6468877450372
ARIMA,232,1,night,3,22,161,163,12.1740553904069
ARIMA,232,1,night,3,22,161,186,13.0388049767267
ARIMA,232,1,night,3,22,161,230,11.0039373708648
ARIMA,232,1,night,3,22,162,100,4.07965478214724
ARIMA,232,1,night,3,22,162,161,11.8923073329163
ARIMA,232,1,night,3,22,162,162,12.1469305752417
ARIMA,232,1,night,3,22,162,163,6.91453043187219
ARIMA,232,1,night,3,22,162,186,8.63217903344393
ARIMA,232,1,night,3,22,162,230,7.5775102718542104
ARIMA,232,1,night,3,22,163,100,4.28041963351098
ARIMA,232,1,night,3,22,163,161,13.384863537101
ARIMA,232,1,night,3,22,163,162,7.70451617169336
ARIMA,232,1,night,3,22,163,163,6.38613353072378
ARIMA,232,1,night,3,22,163,186,5.6954402154972
ARIMA,232,1,night,3,22,163,230,10.6093033713589
ARIMA,232,1,night,3,22,186,100,4.51978339123575
ARIMA,232,1,night,3,22,186,161,15.5362038093978
ARIMA,232,1,night,3,22,186,162,7.57741905923063
ARIMA,232,1,night,3,22,186,163,10.0629631409019
ARIMA,232,1,night,3,22,186,186,3.69455789205064
ARIMA,232,1,night,3,22,186,230,19.5486286924367
ARIMA,232,1,night,3,22,230,100,5.57753696093867
ARIMA,232,1,night,3,22,230,161,8.46117183667369
ARIMA,232,1,night,3,22,230,162,6.06693560107372
ARIMA,232,1,night,3,22,230,163,7.30012615034773
ARIMA,232,1,night,3,22,230,186,9.96883097121137
ARIMA,232,1,night,3,22,230,230,8.02678284721433
ARIMA,232,1,night,4,23,100,100,2.35687950772794
ARIMA,232,1,night,4,23,100,161,6.33569049352286
ARIMA,232,1,night,4,23,100,162,3.48554130175188
ARIMA,232,1,night,4,23,100,163,5.19390460567694
ARIMA,232,1,night,4,23,100,186,2.34861713020476
ARIMA,232,1,night,4,23,100,230,7.22076772104786
ARIMA,232,1,night,4,23,161,100,6.72702617732511
ARIMA,232,1,night,4,23,161,161,19.309881902846
ARIMA,232,1,night,4,23,161,162,11.1117198175109
ARIMA,232,1,night,4,23,161,163,11.8525825198719
ARIMA,232,1,night,4,23,161,186,13.0388049767267
ARIMA,232,1,night,4,23,161,230,9.55576881595146
ARIMA,232,1,night,4,23,162,100,4.07965478214724
ARIMA,232,1,night,4,23,162,161,11.8891061256316
ARIMA,232,1,night,4,23,162,162,11.8275295558493
ARIMA,232,1,night,4,23,162,163,6.50000108548554
ARIMA,232,1,night,4,23,162,186,8.77219006084507
ARIMA,232,1,night,4,23,162,230,7.65068893602196
ARIMA,232,1,night,4,23,163,100,4.28041963351098
ARIMA,232,1,night,4,23,163,161,13.4016753521137
ARIMA,232,1,night,4,23,163,162,7.7062672894331
ARIMA,232,1,night,4,23,163,163,6.38613353072378
ARIMA,232,1,night,4,23,163,186,5.69668122477747
ARIMA,232,1,night,4,23,163,230,9.99552236476142
