model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
LSTM,232,1,morning,NA,NA,100,100,2.1434233
LSTM,232,1,morning,NA,NA,100,161,4.5839095
LSTM,232,1,morning,NA,NA,100,162,2.9133985
LSTM,232,1,morning,NA,NA,100,163,4.395182
LSTM,232,1,morning,NA,NA,100,186,2.6476562
LSTM,232,1,morning,NA,NA,100,230,5.8813467
LSTM,232,1,morning,NA,NA,161,100,7.094474
LSTM,232,1,morning,NA,NA,161,161,15.153045
LSTM,232,1,morning,NA,NA,161,162,9.642711
LSTM,232,1,morning,NA,NA,161,163,10.518016
LSTM,232,1,morning,NA,NA,161,186,12.650097
LSTM,232,1,morning,NA,NA,161,230,11.523005
LSTM,232,1,morning,NA,NA,162,100,3.8440354
LSTM,232,1,morning,NA,NA,162,161,7.7648864
LSTM,232,1,morning,NA,NA,162,162,9.583862
LSTM,232,1,morning,NA,NA,162,163,6.408078
LSTM,232,1,morning,NA,NA,162,186,8.473893
LSTM,232,1,morning,NA,NA,162,230,8.445335
LSTM,232,1,morning,NA,NA,163,100,4.217138
LSTM,232,1,morning,NA,NA,163,161,10.967499
LSTM,232,1,morning,NA,NA,163,162,7.4270463
LSTM,232,1,morning,NA,NA,163,163,5.1074257
LSTM,232,1,morning,NA,NA,163,186,6.043949
LSTM,232,1,morning,NA,NA,163,230,9.799533
LSTM,232,1,morning,NA,NA,186,100,3.3203359
LSTM,232,1,morning,NA,NA,186,161,7.290034
LSTM,232,1,morning,NA,NA,186,162,5.334886
LSTM,232,1,morning,NA,NA,186,163,5.6699724
LSTM,232,1,morning,NA,NA,186,186,3.4197235
LSTM,232,1,morning,NA,NA,186,230,10.914408
LSTM,232,1,morning,NA,NA,230,100,6.1238340000000004
LSTM,232,1,morning,NA,NA,230,161,10.152322
LSTM,232,1,morning,NA,NA,230,162,7.266322
LSTM,232,1,morning,NA,NA,230,163,8.5137615
LSTM,232,1,morning,NA,NA,230,186,12.166771
LSTM,232,1,morning,NA,NA,230,230,10.440236
LSTM,233,2,morning,NA,NA,100,100,2.1121607
LSTM,233,2,morning,NA,NA,100,161,4.5941124
LSTM,233,2,morning,NA,NA,100,162,2.949277
LSTM,233,2,morning,NA,NA,100,163,4.3672185
LSTM,233,2,morning,NA,NA,100,186,2.6814334
LSTM,233,2,morning,NA,NA,100,230,5.847892
LSTM,233,2,morning,NA,NA,161,100,7.0974326
LSTM,233,2,morning,NA,NA,161,161,15.201599
LSTM,233,2,morning,NA,NA,161,162,9.63427
LSTM,233,2,morning,NA,NA,161,163,10.545681
LSTM,233,2,morning,NA,NA,161,186,12.655037
LSTM,233,2,morning,NA,NA,161,230,11.514171
LSTM,233,2,morning,NA,NA,162,100,3.886422
LSTM,233,2,morning,NA,NA,162,161,7.7434278
LSTM,233,2,morning,NA,NA,162,162,9.563077
LSTM,233,2,morning,NA,NA,162,163,6.3748207
LSTM,233,2,morning,NA,NA,162,186,8.499988
LSTM,233,2,morning,NA,NA,162,230,8.421137
LSTM,233,2,morning,NA,NA,163,100,4.258649
LSTM,233,2,morning,NA,NA,163,161,10.942832
LSTM,233,2,morning,NA,NA,163,162,7.455763
LSTM,233,2,morning,NA,NA,163,163,5.0562286
LSTM,233,2,morning,NA,NA,163,186,6.025212
LSTM,233,2,morning,NA,NA,163,230,9.770003
LSTM,233,2,morning,NA,NA,186,100,3.3093467
LSTM,233,2,morning,NA,NA,186,161,7.2886157
LSTM,233,2,morning,NA,NA,186,162,5.314074
LSTM,233,2,morning,NA,NA,186,163,5.676539
LSTM,233,2,morning,NA,NA,186,186,3.4530137
LSTM,233,2,morning,NA,NA,186,230,10.967264
LSTM,233,2,morning,NA,NA,230,100,6.1122656
LSTM,233,2,morning,NA,NA,230,161,10.160697
LSTM,233,2,morning,NA,NA,230,162,7.250993
LSTM,233,2,morning,NA,NA,230,163,8.490102
LSTM,233,2,morning,NA,NA,230,186,12.1983385
LSTM,233,2,morning,NA,NA,230,230,10.415769
LSTM,234,3,morning,NA,NA,100,100,2.150295
LSTM,234,3,morning,NA,NA,100,161,4.6000752
LSTM,234,3,morning,NA,NA,100,162,2.9253793
LSTM,234,3,morning,NA,NA,100,163,4.4341397
LSTM,234,3,morning,NA,NA,100,186,2.674178
LSTM,234,3,morning,NA,NA,100,230,5.907921
LSTM,234,3,morning,NA,NA,161,100,7.1189365
LSTM,234,3,morning,NA,NA,161,161,15.226316
LSTM,234,3,morning,NA,NA,161,162,9.696216
LSTM,234,3,morning,NA,NA,161,163,10.535785
LSTM,234,3,morning,NA,NA,161,186,12.679716
LSTM,234,3,morning,NA,NA,161,230,11.53369
LSTM,234,3,morning,NA,NA,162,100,3.8603008
LSTM,234,3,morning,NA,NA,162,161,7.779584
LSTM,234,3,morning,NA,NA,162,162,9.581318
LSTM,234,3,morning,NA,NA,162,163,6.4407105
LSTM,234,3,morning,NA,NA,162,186,8.517642
LSTM,234,3,morning,NA,NA,162,230,8.47397
LSTM,234,3,morning,NA,NA,163,100,4.237518
LSTM,234,3,morning,NA,NA,163,161,11.002784
LSTM,234,3,morning,NA,NA,163,162,7.445244
LSTM,234,3,morning,NA,NA,163,163,5.1543207
LSTM,234,3,morning,NA,NA,163,186,6.060986
LSTM,234,3,morning,NA,NA,163,230,9.834676
LSTM,234,3,morning,NA,NA,186,100,3.3592963
LSTM,234,3,morning,NA,NA,186,161,7.313014
LSTM,234,3,morning,NA,NA,186,162,5.3175917
LSTM,234,3,morning,NA,NA,186,163,5.6493497
LSTM,234,3,morning,NA,NA,186,186,3.4346585
LSTM,234,3,morning,NA,NA,186,230,10.941428
LSTM,234,3,morning,NA,NA,230,100,6.174325
LSTM,234,3,morning,NA,NA,230,161,10.181043
LSTM,234,3,morning,NA,NA,230,162,7.277643
LSTM,234,3,morning,NA,NA,230,163,8.553049
LSTM,234,3,morning,NA,NA,230,186,12.22023
LSTM,234,3,morning,NA,NA,230,230,10.503746
LSTM,235,4,morning,NA,NA,100,100,2.1462004
LSTM,235,4,morning,NA,NA,100,161,4.5938187
LSTM,235,4,morning,NA,NA,100,162,2.968943
LSTM,235,4,morning,NA,NA,100,163,4.444756
LSTM,235,4,morning,NA,NA,100,186,2.7042687
LSTM,235,4,morning,NA,NA,100,230,5.881066
