model,day_abs,day_order,period,origin_zone_id,dest_zone_id,y_sum
obs,1,1,afternoon,100,100,3
obs,1,1,afternoon,100,161,59
obs,1,1,afternoon,100,162,24
obs,1,1,afternoon,100,163,30
obs,1,1,afternoon,100,186,6
obs,1,1,afternoon,100,230,28
obs,1,1,afternoon,161,100,9
obs,1,1,afternoon,161,161,27
obs,1,1,afternoon,161,162,22
obs,1,1,afternoon,161,163,37
obs,1,1,afternoon,161,186,14
obs,1,1,afternoon,161,230,19
obs,1,1,afternoon,162,100,22
obs,1,1,afternoon,162,161,25
obs,1,1,afternoon,162,162,26
obs,1,1,afternoon,162,163,21
obs,1,1,afternoon,162,186,20
obs,1,1,afternoon,162,230,29
obs,1,1,afternoon,163,100,7
obs,1,1,afternoon,163,161,26
obs,1,1,afternoon,163,162,6
obs,1,1,afternoon,163,163,11
obs,1,1,afternoon,163,186,6
obs,1,1,afternoon,163,230,5
obs,1,1,afternoon,186,100,20
obs,1,1,afternoon,186,161,79
obs,1,1,afternoon,186,162,34
obs,1,1,afternoon,186,163,34
obs,1,1,afternoon,186,186,7
obs,1,1,afternoon,186,230,39
obs,1,1,afternoon,230,100,12
obs,1,1,afternoon,230,161,16
obs,1,1,afternoon,230,162,15
obs,1,1,afternoon,230,163,14
obs,1,1,afternoon,230,186,16
obs,1,1,afternoon,230,230,11
obs,1,1,morning,100,100,8
obs,1,1,morning,100,161,28
obs,1,1,morning,100,162,15
obs,1,1,morning,100,163,19
obs,1,1,morning,100,186,10
obs,1,1,morning,100,230,42
obs,1,1,morning,161,100,22
obs,1,1,morning,161,161,35
obs,1,1,morning,161,162,36
obs,1,1,morning,161,163,25
obs,1,1,morning,161,186,33
obs,1,1,morning,161,230,31
obs,1,1,morning,162,100,8
obs,1,1,morning,162,161,26
obs,1,1,morning,162,162,24
obs,1,1,morning,162,163,22
obs,1,1,morning,162,186,17
obs,1,1,morning,162,230,21
obs,1,1,morning,163,100,10
obs,1,1,morning,163,161,36
obs,1,1,morning,163,162,21
obs,1,1,morning,163,163,16
obs,1,1,morning,163,186,9
obs,1,1,morning,163,230,38
obs,1,1,morning,186,100,10
obs,1,1,morning,186,161,44
obs,1,1,morning,186,162,35
obs,1,1,morning,186,163,21
obs,1,1,morning,186,186,15
obs,1,1,morning,186,230,36
obs,1,1,morning,230,100,16
obs,1,1,morning,230,161,26
obs,1,1,morning,230,162,25
obs,1,1,morning,230,163,38
obs,1,1,morning,230,186,36
obs,1,1,morning,230,230,38
obs,1,1,night,100,100,10
obs,1,1,night,100,161,21
obs,1,1,night,100,162,13
obs,1,1,night,100,163,20
obs,1,1,night,100,186,14
obs,1,1,night,100,230,22
obs,1,1,night,161,100,35
obs,1,1,night,161,161,51
obs,1,1,night,161,162,29
obs,1,1,night,161,163,35
obs,1,1,night,161,186,35
obs,1,1,night,161,230,45
obs,1,1,night,162,100,12
obs,1,1,night,162,161,44
obs,1,1,night,162,162,32
obs,1,1,night,162,163,12
obs,1,1,night,162,186,22
obs,1,1,night,162,230,41
obs,1,1,night,163,100,23
obs,1,1,night,163,161,39
obs,1,1,night,163,162,24
obs,1,1,night,163,163,21
obs,1,1,night,163,186,16
obs,1,1,night,163,230,20
obs,1,1,night,186,100,15
obs,1,1,night,186,161,60
obs,1,1,night,186,162,27
obs,1,1,night,186,163,25
obs,1,1,night,186,186,10
obs,1,1,night,186,230,68
obs,1,1,night,230,100,29
obs,1,1,night,230,161,26
obs,1,1,night,230,162,22
obs,1,1,night,230,163,31
obs,1,1,night,230,186,37
obs,1,1,night,230,230,33
obs,2,2,afternoon,100,100,9
obs,2,2,afternoon,100,161,58
obs,2,2,afternoon,100,162,24
obs,2,2,afternoon,100,163,32
obs,2,2,afternoon,100,186,6
obs,2,2,afternoon,100,230,38
obs,2,2,afternoon,161,100,12
obs,2,2,afternoon,161,161,34
obs,2,2,afternoon,161,162,18
obs,2,2,afternoon,161,163,43
obs,2,2,afternoon,161,186,7
obs,2,2,afternoon,161,230,17
obs,2,2,afternoon,162,100,21
obs,2,2,afternoon,162,161,27
obs,2,2,afternoon,162,162,27
obs,2,2,afternoon,162,163,33
obs,2,2,afternoon,162,186,16
obs,2,2,afternoon,162,230,15
obs,2,2,afternoon,163,100,8
obs,2,2,afternoon,163,161,25
obs,2,2,afternoon,163,162,7
obs,2,2,afternoon,163,163,5
obs,2,2,afternoon,163,186,8
obs,2,2,afternoon,163,230,4
obs,2,2,afternoon,186,100,19
obs,2,2,afternoon,186,161,97
obs,2,2,afternoon,186,162,47
obs,2,2,afternoon,186,163,38
obs,2,2,afternoon,186,186,7
obs,2,2,afternoon,186,230,70
obs,2,2,afternoon,230,100,7
obs,2,2,afternoon,230,161,15
obs,2,2,afternoon,230,162,9
obs,2,2,afternoon,230,163,13
obs,2,2,afternoon,230,186,11
obs,2,2,afternoon,230,230,9
obs,2,2,morning,100,100,4
obs,2,2,morning,100,161,29
obs,2,2,morning,100,162,11
obs,2,2,morning,100,163,24
obs,2,2,morning,100,186,9
obs,2,2,morning,100,230,39
obs,2,2,morning,161,100,41
obs,2,2,morning,161,161,56
obs,2,2,morning,161,162,42
obs,2,2,morning,161,163,42
obs,2,2,morning,161,186,47
obs,2,2,morning,161,230,50
obs,2,2,morning,162,100,18
obs,2,2,morning,162,161,43
obs,2,2,morning,162,162,40
obs,2,2,morning,162,163,20
obs,2,2,morning,162,186,32
obs,2,2,morning,162,230,27
obs,2,2,morning,163,100,23
obs,2,2,morning,163,161,47
obs,2,2,morning,163,162,28
obs,2,2,morning,163,163,25
obs,2,2,morning,163,186,18
obs,2,2,morning,163,230,64
obs,2,2,morning,186,100,19
obs,2,2,morning,186,161,41
obs,2,2,morning,186,162,32
obs,2,2,morning,186,163,35
obs,2,2,morning,186,186,17
obs,2,2,morning,186,230,63
obs,2,2,morning,230,100,38
obs,2,2,morning,230,161,46
obs,2,2,morning,230,162,29
obs,2,2,morning,230,163,49
obs,2,2,morning,230,186,55
obs,2,2,morning,230,230,46
obs,2,2,night,100,100,7
obs,2,2,night,100,161,34
obs,2,2,night,100,162,17
obs,2,2,night,100,163,18
obs,2,2,night,100,186,9
obs,2,2,night,100,230,39
obs,2,2,night,161,100,42
obs,2,2,night,161,161,58
obs,2,2,night,161,162,52
obs,2,2,night,161,163,70
obs,2,2,night,161,186,52
obs,2,2,night,161,230,57
obs,2,2,night,162,100,18
obs,2,2,night,162,161,54
obs,2,2,night,162,162,43
obs,2,2,night,162,163,24
obs,2,2,night,162,186,26
obs,2,2,night,162,230,36
obs,2,2,night,163,100,24
obs,2,2,night,163,161,57
obs,2,2,night,163,162,33
obs,2,2,night,163,163,26
obs,2,2,night,163,186,22
obs,2,2,night,163,230,44
obs,2,2,night,186,100,6
obs,2,2,night,186,161,56
obs,2,2,night,186,162,26
obs,2,2,night,186,163,29
obs,2,2,night,186,186,11
obs,2,2,night,186,230,87
obs,2,2,night,230,100,34
obs,2,2,night,230,161,30
obs,2,2,night,230,162,26
obs,2,2,night,230,163,34
obs,2,2,night,230,186,37
obs,2,2,night,230,230,49
obs,3,3,afternoon,100,100,13
obs,3,3,afternoon,100,161,78
obs,3,3,afternoon,100,162,31
obs,3,3,afternoon,100,163,28
obs,3,3,afternoon,100,186,6
obs,3,3,afternoon,100,230,31
obs,3,3,afternoon,161,100,5
obs,3,3,afternoon,161,161,36
obs,3,3,afternoon,161,162,12
obs,3,3,afternoon,161,163,52
obs,3,3,afternoon,161,186,19
obs,3,3,afternoon,161,230,18
obs,3,3,afternoon,162,100,31
obs,3,3,afternoon,162,161,23
obs,3,3,afternoon,162,162,26
obs,3,3,afternoon,162,163,27
obs,3,3,afternoon,162,186,25
obs,3,3,afternoon,162,230,22
obs,3,3,afternoon,163,100,6
obs,3,3,afternoon,163,161,32
obs,3,3,afternoon,163,162,19
obs,3,3,afternoon,163,163,8
obs,3,3,afternoon,163,186,8
obs,3,3,afternoon,163,230,9
obs,3,3,afternoon,186,100,21
obs,3,3,afternoon,186,161,86
obs,3,3,afternoon,186,162,37
obs,3,3,afternoon,186,163,39
obs,3,3,afternoon,186,186,10
obs,3,3,afternoon,186,230,65
obs,3,3,afternoon,230,100,10
obs,3,3,afternoon,230,161,25
obs,3,3,afternoon,230,162,13
obs,3,3,afternoon,230,163,14
