model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
TensorTS,232,1,morning,1,1,100,100,2.17983475201008
TensorTS,232,1,morning,1,1,100,161,4.84043829878247
TensorTS,232,1,morning,1,1,100,162,3.82245589826793
TensorTS,232,1,morning,1,1,100,163,3.86286625445912
TensorTS,232,1,morning,1,1,100,186,3.1473285934477
TensorTS,232,1,morning,1,1,100,230,6.3355485585868
TensorTS,232,1,morning,1,1,161,100,7.56188990694155
TensorTS,232,1,morning,1,1,161,161,15.0231070501379
TensorTS,232,1,morning,1,1,161,162,12.4528454563772
TensorTS,232,1,morning,1,1,161,163,11.4311133213485
TensorTS,232,1,morning,1,1,161,186,14.4557795208648
TensorTS,232,1,morning,1,1,161,230,14.2523467446539
TensorTS,232,1,morning,1,1,162,100,2.91301556156651
TensorTS,232,1,morning,1,1,162,161,5.77179199053224
TensorTS,232,1,morning,1,1,162,162,5.86964391557875
TensorTS,232,1,morning,1,1,162,163,3.61854811341937
TensorTS,232,1,morning,1,1,162,186,7.25174285059178
TensorTS,232,1,morning,1,1,162,230,3.17428301485302
TensorTS,232,1,morning,1,1,163,100,3.78703734577016
TensorTS,232,1,morning,1,1,163,161,8.37069903466005
TensorTS,232,1,morning,1,1,163,162,6.60650629780463
TensorTS,232,1,morning,1,1,163,163,6.25883748951456
TensorTS,232,1,morning,1,1,163,186,5.90768984373226
TensorTS,232,1,morning,1,1,163,230,10.5596478445296
TensorTS,232,1,morning,1,1,186,100,2.45192392865613
TensorTS,232,1,morning,1,1,186,161,6.10706840101166
TensorTS,232,1,morning,1,1,186,162,4.98584410860824
TensorTS,232,1,morning,1,1,186,163,5.03493256417616
TensorTS,232,1,morning,1,1,186,186,2.46648004580582
TensorTS,232,1,morning,1,1,186,230,10.3564873538101
TensorTS,232,1,morning,1,1,230,100,7.13537292374865
TensorTS,232,1,morning,1,1,230,161,13.6152263584763
TensorTS,232,1,morning,1,1,230,162,12.2839791542312
TensorTS,232,1,morning,1,1,230,163,10.1164175272329
TensorTS,232,1,morning,1,1,230,186,15.0694676401617
TensorTS,232,1,morning,1,1,230,230,11.3258718941463
TensorTS,232,1,morning,2,2,100,100,2.45447745107108
TensorTS,232,1,morning,2,2,100,161,5.47748586479053
TensorTS,232,1,morning,2,2,100,162,4.38561836074568
TensorTS,232,1,morning,2,2,100,163,4.36309422014708
TensorTS,232,1,morning,2,2,100,186,3.51586789107485
TensorTS,232,1,morning,2,2,100,230,7.15294660149537
TensorTS,232,1,morning,2,2,161,100,8.32475146717791
TensorTS,232,1,morning,2,2,161,161,16.7762503796966
TensorTS,232,1,morning,2,2,161,162,14.1877774197232
TensorTS,232,1,morning,2,2,161,163,12.8706183128874
TensorTS,232,1,morning,2,2,161,186,16.0204131269925
TensorTS,232,1,morning,2,2,161,230,16.2002997896343
TensorTS,232,1,morning,2,2,162,100,3.06023324953307
TensorTS,232,1,morning,2,2,162,161,6.14868651783808
TensorTS,232,1,morning,2,2,162,162,6.53682933650494
TensorTS,232,1,morning,2,2,162,163,3.96368235298796
TensorTS,232,1,morning,2,2,162,186,7.93084292737936
TensorTS,232,1,morning,2,2,162,230,3.57447545763625
TensorTS,232,1,morning,2,2,163,100,3.97828908112215
TensorTS,232,1,morning,2,2,163,161,9.02728259151555
TensorTS,232,1,morning,2,2,163,162,7.44692071687661
TensorTS,232,1,morning,2,2,163,163,6.68338139693221
TensorTS,232,1,morning,2,2,163,186,6.44694197114792
TensorTS,232,1,morning,2,2,163,230,11.2512235762838
TensorTS,232,1,morning,2,2,186,100,2.67977850679724
TensorTS,232,1,morning,2,2,186,161,6.64275328037778
TensorTS,232,1,morning,2,2,186,162,5.45845543255659
TensorTS,232,1,morning,2,2,186,163,5.486716579994
TensorTS,232,1,morning,2,2,186,186,2.68473340764508
TensorTS,232,1,morning,2,2,186,230,11.2121870308588
TensorTS,232,1,morning,2,2,230,100,8.14457560679694
TensorTS,232,1,morning,2,2,230,161,15.8293917343618
TensorTS,232,1,morning,2,2,230,162,14.1148490839197
TensorTS,232,1,morning,2,2,230,163,11.8767577253265
TensorTS,232,1,morning,2,2,230,186,16.7738518178625
TensorTS,232,1,morning,2,2,230,230,13.7373773948392
TensorTS,232,1,morning,3,3,100,100,2.39852906963436
TensorTS,232,1,morning,3,3,100,161,5.40536443557873
TensorTS,232,1,morning,3,3,100,162,4.44869005161368
TensorTS,232,1,morning,3,3,100,163,4.34278292127204
TensorTS,232,1,morning,3,3,100,186,3.35848697225071
TensorTS,232,1,morning,3,3,100,230,7.43701486640333
TensorTS,232,1,morning,3,3,161,100,8.20032742649336
TensorTS,232,1,morning,3,3,161,161,16.8334253650589
TensorTS,232,1,morning,3,3,161,162,14.5789591103563
TensorTS,232,1,morning,3,3,161,163,13.2286917934193
TensorTS,232,1,morning,3,3,161,186,15.1707684562381
TensorTS,232,1,morning,3,3,161,230,18.0501329566865
TensorTS,232,1,morning,3,3,162,100,3.19732208701933
TensorTS,232,1,morning,3,3,162,161,6.46263883361293
TensorTS,232,1,morning,3,3,162,162,6.75024346416038
TensorTS,232,1,morning,3,3,162,163,4.45505390093616
TensorTS,232,1,morning,3,3,162,186,7.76137512767126
TensorTS,232,1,morning,3,3,162,230,4.76165657886101
TensorTS,232,1,morning,3,3,163,100,3.58550934402966
TensorTS,232,1,morning,3,3,163,161,8.26873486130563
TensorTS,232,1,morning,3,3,163,162,6.94116727956609
TensorTS,232,1,morning,3,3,163,163,6.14101585686985
TensorTS,232,1,morning,3,3,163,186,5.94878325025919
TensorTS,232,1,morning,3,3,163,230,10.4640224908227
