model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
ARIMA,232,1,afternoon,1,14,100,100,2.35831956208427
ARIMA,232,1,afternoon,1,14,100,161,5.62868140676309
ARIMA,232,1,afternoon,1,14,100,162,2.63037337917393
ARIMA,232,1,afternoon,1,14,100,163,4.8839846131787
ARIMA,232,1,afternoon,1,14,100,186,2.67033497914946
ARIMA,232,1,afternoon,1,14,100,230,6.40858964122659
ARIMA,232,1,afternoon,1,14,161,100,6.00220994153769
ARIMA,232,1,afternoon,1,14,161,161,17.5475192255506
ARIMA,232,1,afternoon,1,14,161,162,9.82833332624196
ARIMA,232,1,afternoon,1,14,161,163,11.5494655967783
ARIMA,232,1,afternoon,1,14,161,186,11.5977221821935
ARIMA,232,1,afternoon,1,14,161,230,9.44742376294878
ARIMA,232,1,afternoon,1,14,162,100,4.29883731825949
ARIMA,232,1,afternoon,1,14,162,161,9.28911415510903
ARIMA,232,1,afternoon,1,14,162,162,11.8149390256746
ARIMA,232,1,afternoon,1,14,162,163,6.60354501777819
ARIMA,232,1,afternoon,1,14,162,186,7.29083168159547
ARIMA,232,1,afternoon,1,14,162,230,7.81656624759727
ARIMA,232,1,afternoon,1,14,163,100,5.09275712925185
ARIMA,232,1,afternoon,1,14,163,161,13.7757428438381
ARIMA,232,1,afternoon,1,14,163,162,8.37993595696907
ARIMA,232,1,afternoon,1,14,163,163,6.72533059309583
ARIMA,232,1,afternoon,1,14,163,186,6.10542699180336
ARIMA,232,1,afternoon,1,14,163,230,8.85528468405358
ARIMA,232,1,afternoon,1,14,186,100,4.69345534389575
ARIMA,232,1,afternoon,1,14,186,161,16.3536425540508
ARIMA,232,1,afternoon,1,14,186,162,7.312576012769
ARIMA,232,1,afternoon,1,14,186,163,10.7738793877567
ARIMA,232,1,afternoon,1,14,186,186,3.95876706013753
ARIMA,232,1,afternoon,1,14,186,230,19.4355338029801
ARIMA,232,1,afternoon,1,14,230,100,6.66786486420945
ARIMA,232,1,afternoon,1,14,230,161,8.49799578857724
ARIMA,232,1,afternoon,1,14,230,162,5.18510745168835
ARIMA,232,1,afternoon,1,14,230,163,9.24485728622292
ARIMA,232,1,afternoon,1,14,230,186,12.0360190589371
ARIMA,232,1,afternoon,1,14,230,230,11.1048081752982
ARIMA,232,1,afternoon,2,15,100,100,2.35831956208427
ARIMA,232,1,afternoon,2,15,100,161,6.00619252851673
ARIMA,232,1,afternoon,2,15,100,162,2.81053815768641
ARIMA,232,1,afternoon,2,15,100,163,4.93449681276315
ARIMA,232,1,afternoon,2,15,100,186,2.46268471838966
ARIMA,232,1,afternoon,2,15,100,230,6.45585028349945
