model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
LSTM,232,1,night,NA,NA,100,100,2.6041946
LSTM,232,1,night,NA,NA,100,161,6.685588
LSTM,232,1,night,NA,NA,100,162,3.0553567
LSTM,232,1,night,NA,NA,100,163,5.041461
LSTM,232,1,night,NA,NA,100,186,3.1337829
LSTM,232,1,night,NA,NA,100,230,5.9450874
LSTM,232,1,night,NA,NA,161,100,8.082699
LSTM,232,1,night,NA,NA,161,161,18.423264
LSTM,232,1,night,NA,NA,161,162,11.392424
LSTM,232,1,night,NA,NA,161,163,13.6903305
LSTM,232,1,night,NA,NA,161,186,12.923635
LSTM,232,1,night,NA,NA,161,230,10.375886
LSTM,232,1,night,NA,NA,162,100,4.459542
LSTM,232,1,night,NA,NA,162,161,11.546406
LSTM,232,1,night,NA,NA,162,162,11.544921
LSTM,232,1,night,NA,NA,162,163,7.6720924
LSTM,232,1,night,NA,NA,162,186,8.943832
LSTM,232,1,night,NA,NA,162,230,7.1803594
LSTM,232,1,night,NA,NA,163,100,4.9965477
LSTM,232,1,night,NA,NA,163,161,14.607214
LSTM,232,1,night,NA,NA,163,162,8.328742
LSTM,232,1,night,NA,NA,163,163,5.4470935
LSTM,232,1,night,NA,NA,163,186,6.633018
LSTM,232,1,night,NA,NA,163,230,6.909475
LSTM,232,1,night,NA,NA,186,100,4.6569276
LSTM,232,1,night,NA,NA,186,161,13.659519
LSTM,232,1,night,NA,NA,186,162,7.3017387
LSTM,232,1,night,NA,NA,186,163,8.168337
LSTM,232,1,night,NA,NA,186,186,3.7685776
LSTM,232,1,night,NA,NA,186,230,15.947368
LSTM,232,1,night,NA,NA,230,100,5.781231
LSTM,232,1,night,NA,NA,230,161,9.12739
LSTM,232,1,night,NA,NA,230,162,6.1407056
LSTM,232,1,night,NA,NA,230,163,8.411042
LSTM,232,1,night,NA,NA,230,186,10.98252
LSTM,232,1,night,NA,NA,230,230,7.3715067
LSTM,233,2,night,NA,NA,100,100,2.473505
LSTM,233,2,night,NA,NA,100,161,6.6699295
LSTM,233,2,night,NA,NA,100,162,3.072963
LSTM,233,2,night,NA,NA,100,163,4.9838324
LSTM,233,2,night,NA,NA,100,186,3.0569136
LSTM,233,2,night,NA,NA,100,230,5.877791
LSTM,233,2,night,NA,NA,161,100,8.017402
LSTM,233,2,night,NA,NA,161,161,18.41201
LSTM,233,2,night,NA,NA,161,162,11.503314
LSTM,233,2,night,NA,NA,161,163,13.627246
LSTM,233,2,night,NA,NA,161,186,12.800328
LSTM,233,2,night,NA,NA,161,230,10.237038
