model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
TensorTS,232,1,night,1,20,100,100,3.70352768018556
TensorTS,232,1,night,1,20,100,161,10.0303315191059
TensorTS,232,1,night,1,20,100,162,4.05727941525081
TensorTS,232,1,night,1,20,100,163,7.24707926295811
TensorTS,232,1,night,1,20,100,186,3.23299108585382
TensorTS,232,1,night,1,20,100,230,10.1617497880099
TensorTS,232,1,night,1,20,161,100,10.7593918656852
TensorTS,232,1,night,1,20,161,161,26.4020422650401
TensorTS,232,1,night,1,20,161,162,14.3089918682354
TensorTS,232,1,night,1,20,161,163,16.1222198552951
TensorTS,232,1,night,1,20,161,186,14.2150573060542
TensorTS,232,1,night,1,20,161,230,14.317471238174
TensorTS,232,1,night,1,20,162,100,5.68631831727782
TensorTS,232,1,night,1,20,162,161,15.148289515046
TensorTS,232,1,night,1,20,162,162,12.1887336986391
TensorTS,232,1,night,1,20,162,163,7.71683062831618
TensorTS,232,1,night,1,20,162,186,8.70941371213572
TensorTS,232,1,night,1,20,162,230,7.46938174059795
TensorTS,232,1,night,1,20,163,100,6.9118961589853
TensorTS,232,1,night,1,20,163,161,18.348071790732
TensorTS,232,1,night,1,20,163,162,9.57317940745148
TensorTS,232,1,night,1,20,163,163,7.87697401293385
TensorTS,232,1,night,1,20,163,186,7.85138874540735
TensorTS,232,1,night,1,20,163,230,10.3460391663715
TensorTS,232,1,night,1,20,186,100,7.39050307358183
TensorTS,232,1,night,1,20,186,161,21.5332272878817
TensorTS,232,1,night,1,20,186,162,9.0976684621183
TensorTS,232,1,night,1,20,186,163,15.0865829432705
TensorTS,232,1,night,1,20,186,186,5.42309440344652
TensorTS,232,1,night,1,20,186,230,26.9031333915964
TensorTS,232,1,night,1,20,230,100,7.13108265676624
TensorTS,232,1,night,1,20,230,161,14.8903017603213
TensorTS,232,1,night,1,20,230,162,7.5863190988524
TensorTS,232,1,night,1,20,230,163,10.66668701326
TensorTS,232,1,night,1,20,230,186,10.5830804301537
TensorTS,232,1,night,1,20,230,230,11.3647726224367
TensorTS,232,1,night,2,21,100,100,3.80602739661957
TensorTS,232,1,night,2,21,100,161,10.2248302339382
TensorTS,232,1,night,2,21,100,162,4.35893935643036
TensorTS,232,1,night,2,21,100,163,7.19059720004456
TensorTS,232,1,night,2,21,100,186,3.38220433595487
TensorTS,232,1,night,2,21,100,230,10.4483401334828
TensorTS,232,1,night,2,21,161,100,10.8927733389401
TensorTS,232,1,night,2,21,161,161,26.8272080527348
TensorTS,232,1,night,2,21,161,162,15.8266173345765
TensorTS,232,1,night,2,21,161,163,16.372818910425
TensorTS,232,1,night,2,21,161,186,14.7723630683522
TensorTS,232,1,night,2,21,161,230,14.5083544474916
TensorTS,232,1,night,2,21,162,100,5.40713580384674
TensorTS,232,1,night,2,21,162,161,14.5035869309477
TensorTS,232,1,night,2,21,162,162,11.9626042548887
TensorTS,232,1,night,2,21,162,163,7.69667351496077
TensorTS,232,1,night,2,21,162,186,8.84864016626782
TensorTS,232,1,night,2,21,162,230,7.13411307667119
TensorTS,232,1,night,2,21,163,100,6.93952692212566
TensorTS,232,1,night,2,21,163,161,17.9444833421974
TensorTS,232,1,night,2,21,163,162,10.1295691268466
TensorTS,232,1,night,2,21,163,163,8.78659238033328
TensorTS,232,1,night,2,21,163,186,8.56069443943882
TensorTS,232,1,night,2,21,163,230,10.6655821700346
TensorTS,232,1,night,2,21,186,100,7.59254863324499
