model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
LSTM,232,1,afternoon,NA,NA,100,100,1.6131924
LSTM,232,1,afternoon,NA,NA,100,161,11.943951
LSTM,232,1,afternoon,NA,NA,100,162,3.7715786
LSTM,232,1,afternoon,NA,NA,100,163,4.9890695
LSTM,232,1,afternoon,NA,NA,100,186,1.2174423
LSTM,232,1,afternoon,NA,NA,100,230,6.2147956
LSTM,232,1,afternoon,NA,NA,161,100,2.3312926
LSTM,232,1,afternoon,NA,NA,161,161,7.347407
LSTM,232,1,afternoon,NA,NA,161,162,3.4211886
LSTM,232,1,afternoon,NA,NA,161,163,7.072763
LSTM,232,1,afternoon,NA,NA,161,186,3.2689147
LSTM,232,1,afternoon,NA,NA,161,230,4.6105385
LSTM,232,1,afternoon,NA,NA,162,100,4.0273023
LSTM,232,1,afternoon,NA,NA,162,161,5.285786
LSTM,232,1,afternoon,NA,NA,162,162,5.663899
LSTM,232,1,afternoon,NA,NA,162,163,3.8799422
LSTM,232,1,afternoon,NA,NA,162,186,4.091742
LSTM,232,1,afternoon,NA,NA,162,230,3.949959
LSTM,232,1,afternoon,NA,NA,163,100,1.6539817
LSTM,232,1,afternoon,NA,NA,163,161,5.002486
LSTM,232,1,afternoon,NA,NA,163,162,2.7871094
LSTM,232,1,afternoon,NA,NA,163,163,1.8908616
LSTM,232,1,afternoon,NA,NA,163,186,2.3161879
LSTM,232,1,afternoon,NA,NA,163,230,1.9012176
LSTM,232,1,afternoon,NA,NA,186,100,2.4998918
LSTM,232,1,afternoon,NA,NA,186,161,18.082413
LSTM,232,1,afternoon,NA,NA,186,162,7.532383
LSTM,232,1,afternoon,NA,NA,186,163,6.433667
LSTM,232,1,afternoon,NA,NA,186,186,1.9754602000000001
LSTM,232,1,afternoon,NA,NA,186,230,11.492194
LSTM,232,1,afternoon,NA,NA,230,100,1.7982384
LSTM,232,1,afternoon,NA,NA,230,161,3.7827482
LSTM,232,1,afternoon,NA,NA,230,162,2.740736
LSTM,232,1,afternoon,NA,NA,230,163,2.6591108
LSTM,232,1,afternoon,NA,NA,230,186,4.3077273
LSTM,232,1,afternoon,NA,NA,230,230,2.9271302
LSTM,233,2,afternoon,NA,NA,100,100,1.7101911
LSTM,233,2,afternoon,NA,NA,100,161,13.144837
LSTM,233,2,afternoon,NA,NA,100,162,4.063539
LSTM,233,2,afternoon,NA,NA,100,163,5.3815284
