model,day_abs,day_order,period,slot_in_period,hour_abs,origin_zone_id,dest_zone_id,y_pred
TensorTS,232,1,afternoon,1,14,100,100,0.482729233791887
TensorTS,232,1,afternoon,1,14,100,161,1.74781073284394
TensorTS,232,1,afternoon,1,14,100,162,0.693304786783369
TensorTS,232,1,afternoon,1,14,100,163,1.5421499388408
TensorTS,232,1,afternoon,1,14,100,186,0.308962452710697
TensorTS,232,1,afternoon,1,14,100,230,1.13450777279693
TensorTS,232,1,afternoon,1,14,161,100,0.654862810323602
TensorTS,232,1,afternoon,1,14,161,161,0.534211911388524
TensorTS,232,1,afternoon,1,14,161,162,0.212606959054058
TensorTS,232,1,afternoon,1,14,161,163,1.20868709095296
TensorTS,232,1,afternoon,1,14,161,186,1.10717965113403
TensorTS,232,1,afternoon,1,14,161,230,0.113436871909966
TensorTS,232,1,afternoon,1,14,162,100,0.688728083814181
TensorTS,232,1,afternoon,1,14,162,161,0.569270392959157
TensorTS,232,1,afternoon,1,14,162,162,0.552844949439576
TensorTS,232,1,afternoon,1,14,162,163,0.63265894098964
TensorTS,232,1,afternoon,1,14,162,186,0.754997748002917
TensorTS,232,1,afternoon,1,14,162,230,0.0132560084521721
TensorTS,232,1,afternoon,1,14,163,100,0.413101987547245
TensorTS,232,1,afternoon,1,14,163,161,0.57606653426872
TensorTS,232,1,afternoon,1,14,163,162,0.33735224684187
TensorTS,232,1,afternoon,1,14,163,163,0.42510003305484
TensorTS,232,1,afternoon,1,14,163,186,0.324044042494928
TensorTS,232,1,afternoon,1,14,163,230,0.220040534040888
TensorTS,232,1,afternoon,1,14,186,100,0.493370229076278
TensorTS,232,1,afternoon,1,14,186,161,1.35173816199262
TensorTS,232,1,afternoon,1,14,186,162,0.954302943546486
TensorTS,232,1,afternoon,1,14,186,163,0.937777358980423
TensorTS,232,1,afternoon,1,14,186,186,0.203447960705291
TensorTS,232,1,afternoon,1,14,186,230,1.93867282161451
TensorTS,232,1,afternoon,1,14,230,100,0.854500985992325
TensorTS,232,1,afternoon,1,14,230,161,1.00854539330722
TensorTS,232,1,afternoon,1,14,230,162,0.51433452190813
TensorTS,232,1,afternoon,1,14,230,163,1.04113260473806
TensorTS,232,1,afternoon,1,14,230,186,0.97496504470174306
TensorTS,232,1,afternoon,1,14,230,230,0.379400375255007
TensorTS,232,1,afternoon,2,15,100,100,0.684022192435428
TensorTS,232,1,afternoon,2,15,100,161,4.85183360738654
TensorTS,232,1,afternoon,2,15,100,162,1.36231795174375
TensorTS,232,1,afternoon,2,15,100,163,2.74872485349656
TensorTS,232,1,afternoon,2,15,100,186,0.658159912887895
TensorTS,232,1,afternoon,2,15,100,230,2.31187047406573
TensorTS,232,1,afternoon,2,15,161,100,1.46949826382262
TensorTS,232,1,afternoon,2,15,161,161,1.16450550501388
TensorTS,232,1,afternoon,2,15,161,162,0.510618263735511
TensorTS,232,1,afternoon,2,15,161,163,2.18823284939944
TensorTS,232,1,afternoon,2,15,161,186,1.99271538635466
TensorTS,232,1,afternoon,2,15,161,230,0.532457942528022
TensorTS,232,1,afternoon,2,15,162,100,1.33185265155197
TensorTS,232,1,afternoon,2,15,162,161,1.48085401453829
TensorTS,232,1,afternoon,2,15,162,162,1.26161701226154
TensorTS,232,1,afternoon,2,15,162,163,1.6335472060137
TensorTS,232,1,afternoon,2,15,162,186,1.43482132890264
TensorTS,232,1,afternoon,2,15,162,230,0.87590009728903
TensorTS,232,1,afternoon,2,15,163,100,0.883627524684866
TensorTS,232,1,afternoon,2,15,163,161,0.866071764442814
TensorTS,232,1,afternoon,2,15,163,162,0.561868436607228
TensorTS,232,1,afternoon,2,15,163,163,1.09246840254564
TensorTS,232,1,afternoon,2,15,163,186,0.823302558805456
TensorTS,232,1,afternoon,2,15,163,230,0.385429339584921
TensorTS,232,1,afternoon,2,15,186,100,1.13393991615404
TensorTS,232,1,afternoon,2,15,186,161,4.00292359287294
TensorTS,232,1,afternoon,2,15,186,162,2.03193490470573
TensorTS,232,1,afternoon,2,15,186,163,1.82082317443614
TensorTS,232,1,afternoon,2,15,186,186,0.490140740048849
TensorTS,232,1,afternoon,2,15,186,230,3.47848134189275
TensorTS,232,1,afternoon,2,15,230,100,1.55042217908813
TensorTS,232,1,afternoon,2,15,230,161,1.534363148165
TensorTS,232,1,afternoon,2,15,230,162,0.841105659253549
TensorTS,232,1,afternoon,2,15,230,163,1.89856575228637
TensorTS,232,1,afternoon,2,15,230,186,1.98575931593486
TensorTS,232,1,afternoon,2,15,230,230,0.381705473082871
TensorTS,232,1,afternoon,3,16,100,100,0.5687678665396
TensorTS,232,1,afternoon,3,16,100,161,5.3271454432687
TensorTS,232,1,afternoon,3,16,100,162,1.67960919840421
TensorTS,232,1,afternoon,3,16,100,163,3.09191360613988
TensorTS,232,1,afternoon,3,16,100,186,0.678362897018084
TensorTS,232,1,afternoon,3,16,100,230,4.85913909988503
TensorTS,232,1,afternoon,3,16,161,100,3.15395549778939
TensorTS,232,1,afternoon,3,16,161,161,4.18454396535607
TensorTS,232,1,afternoon,3,16,161,162,2.04896675761923
TensorTS,232,1,afternoon,3,16,161,163,4.91300950647151
TensorTS,232,1,afternoon,3,16,161,186,2.6126231131913
TensorTS,232,1,afternoon,3,16,161,230,2.57554269742647
